success,code,data,responseTimestamp,subfolder,subsubfolder
True,SUCCESS,"{'aggregated': {'registeredUsers': 64853, 'appOpens': 1232757}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 18866, 'percentage': 0.2909040445314789}, {'brand': 'Vivo', 'count': 13750, 'percentage': 0.2120179482830401}, {'brand': 'Samsung', 'count': 11484, 'percentage': 0.1770773904059951}, {'brand': 'Oppo', 'count': 9683, 'percentage': 0.1493068940527038}, {'brand': 'Realme', 'count': 3480, 'percentage': 0.05365981527454397}, {'brand': 'Apple', 'count': 1484, 'percentage': 0.022882518927420475}, {'brand': 'OnePlus', 'count': 1397, 'percentage': 0.021541023545556873}, {'brand': 'Huawei', 'count': 924, 'percentage': 0.014247606124620294}, {'brand': 'Motorola', 'count': 912, 'percentage': 0.014062572278846006}, {'brand': 'Lenovo', 'count': 524, 'percentage': 0.00807981126547731}, {'brand': 'Others', 'count': 2349, 'percentage': 0.03622037531031718}]}",1630501499506,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 351024, 'appOpens': 33612080}, 'usersByDevice': None}",1692619323100,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 335936, 'appOpens': 35227154}, 'usersByDevice': None}",1692619139986,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 292104, 'appOpens': 28652431}, 'usersByDevice': None}",1669732312052,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 307386, 'appOpens': 31229366}, 'usersByDevice': None}",1669732443261,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 276483, 'appOpens': 24206053}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 86500, 'percentage': 0.3128582950850504}, {'brand': 'Vivo', 'count': 48861, 'percentage': 0.17672334284567226}, {'brand': 'Samsung', 'count': 33311, 'percentage': 0.12048118690841751}, {'brand': 'Oppo', 'count': 32385, 'percentage': 0.11713197556450125}, {'brand': 'Realme', 'count': 24725, 'percentage': 0.08942683636968639}, {'brand': 'Apple', 'count': 5724, 'percentage': 0.020702900359154088}, {'brand': 'Huawei', 'count': 4682, 'percentage': 0.016934133382522615}, {'brand': 'Gionee', 'count': 3847, 'percentage': 0.013914056198753631}, {'brand': 'Infinix', 'count': 3655, 'percentage': 0.0132196192894319}, {'brand': 'Asus', 'count': 3422, 'percentage': 0.012376891165098759}, {'brand': 'Others', 'count': 29371, 'percentage': 0.10623076283171118}]}",1651127677421,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 321205, 'appOpens': 11171582}, 'usersByDevice': None}",1674558322003,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 223337, 'appOpens': 6716892}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 69897, 'percentage': 0.3129665035350166}, {'brand': 'Vivo', 'count': 38629, 'percentage': 0.17296283195350523}, {'brand': 'Samsung', 'count': 29348, 'percentage': 0.1314067977988421}, {'brand': 'Oppo', 'count': 25763, 'percentage': 0.11535482253276438}, {'brand': 'Realme', 'count': 15567, 'percentage': 0.06970184071604794}, {'brand': 'Apple', 'count': 4432, 'percentage': 0.01984445031499483}, {'brand': 'Huawei', 'count': 4355, 'percentage': 0.019499679856002365}, {'brand': 'Gionee', 'count': 3847, 'percentage': 0.017225090334337795}, {'brand': 'Asus', 'count': 3569, 'percentage': 0.015980334651222144}, {'brand': 'Micromax', 'count': 2956, 'percentage': 0.01323560359456785}, {'brand': 'Others', 'count': 24974, 'percentage': 0.11182204471269874}]}",1630501500430,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 241797, 'appOpens': 8661991}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 75533, 'percentage': 0.3123818740513737}, {'brand': 'Vivo', 'count': 42814, 'percentage': 0.1770658858463918}, {'brand': 'Samsung', 'count': 30669, 'percentage': 0.12683780195784067}, {'brand': 'Oppo', 'count': 28344, 'percentage': 0.11722229804340004}, {'brand': 'Realme', 'count': 18070, 'percentage': 0.07473210999309338}, {'brand': 'Apple', 'count': 4751, 'percentage': 0.01964871359032577}, {'brand': 'Huawei', 'count': 4623, 'percentage': 0.01911934391245549}, {'brand': 'Gionee', 'count': 4004, 'percentage': 0.016559345235879683}, {'brand': 'Asus', 'count': 3519, 'percentage': 0.014553530440824327}, {'brand': 'Micromax', 'count': 2857, 'percentage': 0.011815696638088976}, {'brand': 'Others', 'count': 26613, 'percentage': 0.11006340029032619}]}",1634575162182,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 207808, 'appOpens': 2980581}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 65272, 'percentage': 0.3140976285802279}, {'brand': 'Vivo', 'count': 35635, 'percentage': 0.17148040498922082}, {'brand': 'Samsung', 'count': 27338, 'percentage': 0.13155412688635665}, {'brand': 'Oppo', 'count': 24014, 'percentage': 0.11555859254696643}, {'brand': 'Realme', 'count': 13266, 'percentage': 0.06383777332922698}, {'brand': 'Huawei', 'count': 4306, 'percentage': 0.020721050200184787}, {'brand': 'Apple', 'count': 4121, 'percentage': 0.01983080535879273}, {'brand': 'Gionee', 'count': 3806, 'percentage': 0.018314983061287343}, {'brand': 'Asus', 'count': 3633, 'percentage': 0.017482483831228825}, {'brand': 'Micromax', 'count': 3039, 'percentage': 0.014624076070218664}, {'brand': 'Others', 'count': 23378, 'percentage': 0.11249807514628889}]}",1630501499997,bihar,state
